Diatoms Image,Pore Density (pores/um²),Pore Mean Area (nm²),Pore to Total Area Ratio (%),Expected Gaussian Value (nm²),Gaussian Sigma (nm²),Variance (sigma²),Type
3597_003_CNN2 processed_pores.png,254.9592391,389.0165645,9.91833673,392.6669251,78.51682834,6164.892333,MODIFIED
3597_004_CNN2 processed_pores.png,229.9065897,392.7290098,9.029098732,409.997285,58.7980783,3457.214011,MODIFIED
3597_006_CNN2 processed_pores.png,244.3632529,557.6711787,13.62743433,572.9425637,75.95703715,5769.471492,MODIFIED
3597_007_CNN2 processed_pores.png,239.4570564,314.2488066,7.52490942,319.3090532,64.89604812,4211.497062,MODIFIED
3597_009_CNN2 processed_pores.png,272.5462963,495.7669718,13.5119452,516.3999176,74.39106059,5534.029895,MODIFIED
3597_010_CNN2 processed_pores.png,258.9661175,322.1749845,8.343240489,312.6714802,110.44901,12198.9838,MODIFIED
3597_013_CNN2 processed_pores.png,180.6610904,545.6729018,9.858186141,552.6462103,135.4105514,18336.01742,MODIFIED
3597_015_CNN2 processed_pores.png,221.7469146,647.5147995,14.3584409,642.547094,127.0338566,16137.60071,MODIFIED
3597_016_CNN2 processed_pores.png,179.7554348,623.8819602,11.2146173,649.0981058,66.10803662,4370.272505,MODIFIED
3597_019_CNN2 processed_pores.png,230.1489258,572.1339226,13.16760077,526.989136,99.14949291,9830.621944,MODIFIED
3597_021_CNN2 processed_pores.png,293.1636379,497.355141,14.58064425,491.5500729,88.39339501,7813.392282,MODIFIED
3597_022_CNN2 processed_pores.png,233.8654891,438.2655531,10.2495188,448.8265353,108.7607142,11828.89295,MODIFIED
3597_025_CNN2 processed_pores.png,214.5171323,776.1272118,16.64925838,800.9060253,78.18019095,6112.142257,MODIFIED
3597_030_CNN2 processed_pores.png,305.103805,489.7062228,14.94112319,506.7467417,52.49624378,2755.855611,MODIFIED
3597_031_CNN2 processed_pores.png,319.0687981,511.614445,16.32402061,556.558912,97.79980344,9564.801554,MODIFIED
3597_034_CNN2 processed_pores.png,270.8079836,527.8138259,14.29361979,476.4065858,107.1881485,11489.29918,MODIFIED
3597_03A_CNN2 processed_pores.png,236.3104337,601.1469298,14.20572917,602.4104739,237.4114573,56364.20008,MODIFIED
3597_043_CNN2 processed_pores.png,162.5173611,517.1548933,8.404664855,443.2737607,106.3137733,11302.6184,MODIFIED
3597_048_CNN2 processed_pores.png,279.1694973,675.9239544,18.86973505,615.4694085,179.919122,32370.89045,MODIFIED
3597_051_CNN2 processed_pores.png,249.5659722,501.3402647,12.51174706,515.245819,142.166193,20211.22642,MODIFIED
3597_052_CNN2 processed_pores.png,197.6902174,921.8141466,18.2233639,904.4320702,317.4872252,100798.1381,MODIFIED
3597_055_CNN2 processed_pores.png,229.9168585,360.3569097,8.285212862,341.2002309,77.28381587,5972.788196,MODIFIED
3597_05A_CNN2 processed_pores.png,308.7507077,635.3171131,19.61546082,640.3419774,98.62374245,9726.642575,MODIFIED
3597_06A_CNN2 processed_pores.png,209.0126812,577.7153304,12.07498302,607.1896061,64.29889011,4134.34727,MODIFIED
3597_08A_CNN2 processed_pores.png,287.5454668,595.5855526,17.12579257,556.646754,186.2290419,34681.25605,MODIFIED
3597_10A_CNN2 processed_pores.png,174.041868,661.8632466,11.51919158,622.9479457,104.4252757,10904.63821,MODIFIED
3597_12A_CNN2 processed_pores.png,352.9232714,466.2067542,16.45352129,470.8412175,83.2675105,6933.478305,MODIFIED
3597_18A_CNN2 processed_pores.png,211.5842014,625.9325721,13.24374434,643.8274632,155.794014,24271.77481,MODIFIED
3597_19A_CNN2 processed_pores.png,204.0591033,541.8851436,11.05765965,572.4413298,60.42638258,3651.347712,MODIFIED
Wild016_CNN2 processed_pores.png,366.2975543,316.1957442,11.58217278,329.4837719,40.32033948,1625.729776,WILD
Wild018_CNN2 processed_pores.png,312.3193359,275.4264411,8.602100317,285.7383961,69.40903427,4817.614038,WILD
Wild021_CNN2 processed_pores.png,227.0905868,354.1034181,8.041355299,358.7665136,104.3973831,10898.8136,WILD
Wild023_CNN2 processed_pores.png,288.0407263,501.2429965,14.43783967,529.5815113,84.29076522,7104.933101,WILD
Wild024_CNN2 processed_pores.png,242.4157184,425.2012406,10.30754642,438.9446362,98.20550837,9644.321874,WILD
Wild025_CNN2 processed_pores.png,315.5269349,400.3701266,12.63275589,426.5768078,97.98286694,9600.642213,WILD
Wild027_CNN2 processed_pores.png,243.0366848,323.1481481,7.853685462,334.0668848,49.76536767,2476.591819,WILD
Wild032_CNN2 processed_pores.png,203.5425159,532.0515941,10.829512,582.7622197,113.1786445,12809.40556,WILD
Wild033_CNN2 processed_pores.png,244.3654467,340.4285387,8.318897192,356.8118644,107.6374714,11585.82525,WILD
Wild037_CNN2 processed_pores.png,265.0985054,395.487646,10.48431839,418.1889494,56.4721583,3189.104663,WILD
Wild041_CNN2 processed_pores.png,280.8401268,633.8242527,17.80032835,538.5672039,130.8487184,17121.38711,WILD
Wild046_CNN2 processed_pores.png,348.8722826,408.808629,14.26219995,425.915656,56.49291137,3191.449035,WILD
Wild048_CNN2 processed_pores.png,330.5180342,286.2020498,9.459493886,297.1196733,33.48922798,1121.528391,WILD
Wild052_CNN2 processed_pores.png,310.1301454,391.113669,12.1296139,412.8492304,53.52614564,2865.048267,WILD
Wild053_CNN2 processed_pores.png,322.2184952,502.2517566,16.18348053,532.3491711,63.13072861,3985.488895,WILD
Wild060_CNN2 processed_pores.png,390.3900589,333.494058,13.01927649,354.9933171,72.88831925,5312.707083,WILD
Wild061_CNN2 processed_pores.png,311.0283628,439.8885694,13.68178216,454.1208838,68.2305278,4655.404923,WILD
Wild062_CNN2 processed_pores.png,459.2204484,424.1974834,19.48001585,435.9388881,63.86902976,4079.252963,WILD
Wild063_CNN2 processed_pores.png,214.5572209,470.4099769,10.09298573,506.4614132,57.89469167,3351.795324,WILD
Wild076_CNN2 processed_pores.png,304.6387505,487.2202807,14.84261775,521.6160164,79.40837581,6305.690149,WILD
Wild081_CNN2 processed_pores.png,355.2242634,350.7468927,12.45938066,361.0315862,65.88527111,4340.868949,WILD
Wild091_CNN2 processed_pores.png,392.0583925,315.7363379,12.37870811,322.3212223,50.13030431,2513.04741,WILD
Wild093_CNN2 processed_pores.png,280.3061311,425.5727378,11.92906476,448.024626,71.76759141,5150.587177,WILD
Wild095_CNN2 processed_pores.png,266.0661987,484.5585409,12.8924649,493.6852745,73.3426389,5379.142682,WILD
Wild114_CNN2 processed_pores.png,202.6217165,481.4744448,9.755717844,492.9991371,48.02943043,2306.826188,WILD
Wild116_CNN2 processed_pores.png,299.4190161,423.402621,12.67747962,436.0279725,88.80052951,7885.534041,WILD
Wild121_CNN2 processed_pores.png,326.6046447,365.6174707,11.94123641,386.1882301,83.88895911,7037.357461,WILD
Wild125_CNN2 processed_pores.png,272.7868475,500.0511699,13.64073822,517.4591331,85.13827294,7248.525519,WILD
Wild130_CNN2 processed_pores.png,341.8813689,468.6377736,16.02185236,498.1172655,107.9074072,11644.00854,WILD
